beta_0,beta_1,sigma,log_lik
-2.8930485,1.8832486,1.0863339,-5.5294646
-0.75518264,0.88108608,0.69326919,-6.6357432
-0.53128411,0.91375951,0.68138634,-4.6491844
0.1412434,1.0282127,0.82402832,-4.569297
-0.99786608,1.3316766,0.58729679,-4.5650917
1.2212288,0.68858908,0.67930444,-4.5647553
0.6983875,0.83817227,0.78173189,-4.3305554
-1.1949939,1.2680522,0.50552453,-3.3388282
-2.5189606,1.5566208,0.59753498,-4.5032608
-2.7439707,1.585803,0.56763297,-5.276265
-2.4533382,1.7257446,0.53472576,-5.860026
-3.4501918,1.9267302,1.4626025,-5.8844269
-3.660207,2.0363019,0.85748758,-5.5220865
-1.9484476,1.3527838,1.2308413,-5.1896641
0.15952171,0.93765965,0.6735493,-3.629986
0.48447196,0.6081293,1.3735694,-5.735457
2.3691324,0.52093039,1.1537873,-6.4676236
2.5819488,-0.084691806,1.1908731,-7.0147984
2.1893628,0.12260783,1.1584878,-5.9616358
3.524843,0.10256245,1.385116,-6.4027619
-0.62484505,1.2171047,1.4527055,-5.6161161
-0.59479842,1.176993,0.81180059,-4.0108872
-0.059680393,0.98656016,0.72317665,-3.6045926
-1.6795569,1.4220648,0.91320477,-4.1827021
-2.4012592,1.3297479,1.179586,-6.1396028
-4.7798226,2.0469548,0.92092149,-7.1467133
-4.0442421,2.3021228,1.1210956,-6.9798206
-1.9928836,1.2237214,2.558081,-7.7840219
-3.0786001,1.758641,0.70445625,-4.684685
0.076484879,1.0047806,0.88959679,-4.3032092
-1.6833757,1.3150687,0.80770671,-4.0685605
0.57551576,0.78213337,0.75973565,-3.7724389
1.055833,0.74395477,1.1833293,-5.1511115
-0.32958453,1.2061217,1.1991747,-5.4484169
-2.5664916,1.2940432,1.1325584,-7.1127477
-1.5976285,1.4534554,1.3540163,-5.3704648
0.20125964,0.77081659,1.0363004,-4.6084618
0.18084013,0.82148545,1.2658056,-5.041716
0.32249979,0.83561376,1.0152061,-4.3508376
-0.40904536,0.89430536,0.66676026,-4.4406231
-1.596315,1.5876881,0.72521317,-6.1245916
-2.0953716,1.4745545,0.70758016,-3.9166557
-3.4932904,1.8854423,0.9939699,-5.085798
0.81415837,0.66479318,0.56474402,-3.8007447
-1.3121466,1.4110098,0.70066782,-4.3560537
-1.6851961,1.5081896,0.66287105,-4.464181
-0.21608459,1.0162428,1.119,-4.6055579
-3.9268701,2.0848248,0.81034578,-5.6678408
-2.3710343,1.6399253,0.8026158,-4.3485149
0.12307398,0.84309756,0.38204743,-4.3225109
-1.5354102,1.401625,0.48062471,-3.954659
1.1920243,0.51156385,0.66908804,-4.3659888
1.1742744,0.57752286,0.86660495,-4.2483023
-1.2566998,1.2724206,0.53718485,-3.3131369
1.5681014,0.50982654,0.48752553,-5.0218079
1.7597829,0.54262381,0.76867722,-4.9049133
1.9059121,0.4554535,0.71060574,-4.7367371
1.9502024,0.36361361,0.71108222,-4.6444784
1.6862179,0.4382007,0.81619772,-4.4478842
4.7918331,-0.40194186,1.7476126,-7.0023717
3.8161831,-0.19526933,1.8364368,-6.858667
-0.29729991,0.92790688,0.85563333,-4.0266837
-0.73754417,1.0235364,0.78948177,-4.0546599
-1.8139884,1.3173467,0.87333372,-4.4340583
-1.5460689,1.4885196,0.94508048,-4.7519723
-0.24060225,1.0036574,1.4024435,-5.3212622
-0.25573413,1.0041798,1.4069422,-5.3305493
-0.40379456,0.90127067,1.3259205,-5.3747958
-3.0029091,1.6410793,1.1190271,-5.2778542
-2.7602143,1.6889817,1.7148682,-6.1890615
0.47033054,0.76260836,1.6770087,-5.9870482
-0.50405892,1.0358011,1.945191,-6.4898041
-1.0952167,1.5615861,1.8077215,-7.1064241
1.7367093,0.6713527,1.0782748,-6.0023213
0.036164604,0.56200002,1.1885883,-6.9779492
0.68700482,0.99858424,0.92429194,-6.2579453
0.69045331,0.82817587,0.88860296,-4.3911215
-2.8959744,1.8327838,0.69305577,-5.1991722
-0.15577604,1.0878142,1.1157704,-4.8798928
-0.68226984,0.94895866,1.1148448,-5.089413
0.08696475,0.77674345,0.78213199,-4.2839409
-0.27515814,1.0712454,0.49533344,-3.7298516
-1.9767933,1.3277283,0.49198166,-5.9778829
2.2179033,0.24881599,1.1811106,-5.3503198
-0.2412784,0.97659568,0.452925,-3.3037309
-1.0494709,1.2545879,0.39911402,-3.9893793
-1.3201975,1.3073211,0.63130067,-3.4258818
-0.25926262,0.95480282,0.39613284,-3.8400651
-0.38652454,0.98899276,0.42237897,-3.6097692
